time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,33.4,16.8,0.0,Cape_Town
2023-01-02,33.9,17.9,0.0,Cape_Town
2023-01-03,24.2,14.2,0.6,Cape_Town
2023-01-04,23.1,15.8,0.5,Cape_Town
2023-01-05,20.9,15.4,0.0,Cape_Town
2023-01-06,25.1,16.2,0.0,Cape_Town
2023-01-07,28.6,15.9,0.0,Cape_Town
2023-01-08,31.2,14.8,0.0,Cape_Town
2023-01-09,28.7,16.8,0.0,Cape_Town
2023-01-10,26.1,17.8,0.0,Cape_Town
2023-01-11,28.8,14.7,0.0,Cape_Town
2023-01-12,22.8,16.5,1.3,Cape_Town
2023-01-13,26.2,14.9,0.0,Cape_Town
2023-01-14,25.7,18.3,0.1,Cape_Town
2023-01-15,26.3,18.8,0.0,Cape_Town
2023-01-16,32.2,18.5,0.0,Cape_Town
2023-01-17,32.2,18.0,0.0,Cape_Town
2023-01-18,24.5,16.4,3.0,Cape_Town
2023-01-19,27.0,19.6,0.2,Cape_Town
2023-01-20,27.1,16.5,0.0,Cape_Town
2023-01-21,25.8,16.2,0.0,Cape_Town
2023-01-22,26.9,16.9,0.1,Cape_Town
2023-01-23,26.7,16.8,0.0,Cape_Town
2023-01-24,22.2,16.6,0.7,Cape_Town
2023-01-25,24.6,14.2,0.0,Cape_Town
2023-01-26,26.3,15.4,0.0,Cape_Town
2023-01-27,27.0,17.1,0.0,Cape_Town
2023-01-28,23.1,17.3,0.7,Cape_Town
2023-01-29,29.2,15.9,0.0,Cape_Town
2023-01-30,31.6,16.6,0.0,Cape_Town
2023-01-31,32.7,15.4,0.0,Cape_Town
2023-02-01,27.2,18.1,0.1,Cape_Town
2023-02-02,25.7,16.4,0.0,Cape_Town
2023-02-03,27.6,16.7,0.0,Cape_Town
2023-02-04,31.1,16.0,0.1,Cape_Town
2023-02-05,24.1,19.8,1.0,Cape_Town
2023-02-06,31.8,19.4,0.0,Cape_Town
2023-02-07,26.8,19.3,0.0,Cape_Town
2023-02-08,32.2,18.4,0.0,Cape_Town
2023-02-09,32.2,15.8,0.0,Cape_Town
2023-02-10,35.7,18.5,0.0,Cape_Town
2023-02-11,35.5,18.2,0.0,Cape_Town
2023-02-12,27.4,19.9,0.1,Cape_Town
2023-02-13,28.9,18.0,0.0,Cape_Town
2023-02-14,26.7,18.5,0.0,Cape_Town
2023-02-15,25.3,18.8,0.0,Cape_Town
2023-02-16,29.2,19.4,0.0,Cape_Town
2023-02-17,26.8,19.4,0.3,Cape_Town
2023-02-18,26.3,17.9,0.0,Cape_Town
2023-02-19,27.2,15.5,0.0,Cape_Town
2023-02-20,19.7,13.7,17.6,Cape_Town
2023-02-21,20.6,11.9,0.0,Cape_Town
2023-02-22,25.5,13.4,0.0,Cape_Town
2023-02-23,27.1,16.7,0.0,Cape_Town
2023-02-24,26.0,17.6,0.4,Cape_Town
2023-02-25,24.1,15.9,0.0,Cape_Town
2023-02-26,27.2,15.5,0.0,Cape_Town
2023-02-27,27.1,17.3,0.0,Cape_Town
2023-02-28,26.6,17.9,0.0,Cape_Town
2023-03-01,26.2,17.2,0.0,Cape_Town
2023-03-02,30.1,15.1,0.0,Cape_Town
2023-03-03,24.8,15.1,0.0,Cape_Town
2023-03-04,28.9,16.5,0.4,Cape_Town
2023-03-05,19.4,16.4,20.1,Cape_Town
2023-03-06,22.6,16.5,3.9,Cape_Town
2023-03-07,29.0,16.5,0.9,Cape_Town
2023-03-08,21.3,14.8,0.0,Cape_Town
2023-03-09,19.6,14.1,5.9,Cape_Town
2023-03-10,21.5,11.1,0.0,Cape_Town
2023-03-11,21.9,14.8,5.3,Cape_Town
2023-03-12,26.3,12.7,0.0,Cape_Town
2023-03-13,25.1,15.4,0.0,Cape_Town
2023-03-14,27.2,18.1,0.0,Cape_Town
2023-03-15,33.5,19.8,0.0,Cape_Town
2023-03-16,34.3,17.9,0.0,Cape_Town
2023-03-17,23.2,16.5,0.6,Cape_Town
2023-03-18,21.7,15.4,3.4,Cape_Town
2023-03-19,22.5,14.8,0.0,Cape_Town
2023-03-20,20.9,16.3,5.5,Cape_Town
2023-03-21,21.9,15.0,3.8,Cape_Town
2023-03-22,23.7,15.4,0.0,Cape_Town
2023-03-23,30.2,17.8,5.8,Cape_Town
2023-03-24,22.9,16.4,17.7,Cape_Town
2023-03-25,20.2,16.2,6.5,Cape_Town
2023-03-26,20.5,14.4,0.4,Cape_Town
2023-03-27,27.9,9.8,0.0,Cape_Town
2023-03-28,21.7,12.0,0.0,Cape_Town
2023-03-29,20.2,13.4,0.1,Cape_Town
2023-03-30,22.1,12.3,0.0,Cape_Town
2023-03-31,22.6,15.3,0.0,Cape_Town
2023-04-01,26.4,15.6,0.0,Cape_Town
2023-04-02,23.4,12.2,0.1,Cape_Town
2023-04-03,22.0,14.0,0.5,Cape_Town
2023-04-04,24.7,12.5,0.0,Cape_Town
2023-04-05,32.2,11.9,0.0,Cape_Town
2023-04-06,31.0,16.4,0.0,Cape_Town
2023-04-07,19.6,15.4,4.4,Cape_Town
2023-04-08,18.8,12.9,0.0,Cape_Town
2023-04-09,20.8,10.4,0.0,Cape_Town
2023-04-10,20.0,11.1,0.5,Cape_Town
