time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,24.0,18.5,0.0,Dubai
2023-01-02,24.8,15.6,0.0,Dubai
2023-01-03,23.6,16.5,1.0,Dubai
2023-01-04,26.3,15.2,0.3,Dubai
2023-01-05,27.2,17.2,0.0,Dubai
2023-01-06,24.9,18.7,0.5,Dubai
2023-01-07,22.7,17.1,3.0,Dubai
2023-01-08,22.8,15.3,0.2,Dubai
2023-01-09,22.5,17.4,0.0,Dubai
2023-01-10,27.6,15.9,0.0,Dubai
2023-01-11,22.5,19.6,0.0,Dubai
2023-01-12,22.8,15.8,0.0,Dubai
2023-01-13,24.0,14.7,0.0,Dubai
2023-01-14,24.6,15.2,0.0,Dubai
2023-01-15,25.7,16.4,0.0,Dubai
2023-01-16,24.3,16.0,0.0,Dubai
2023-01-17,28.5,16.2,0.0,Dubai
2023-01-18,23.0,20.4,0.0,Dubai
2023-01-19,22.9,18.7,0.0,Dubai
2023-01-20,24.1,13.8,0.0,Dubai
2023-01-21,25.5,14.0,0.0,Dubai
2023-01-22,24.6,13.7,0.0,Dubai
2023-01-23,23.8,16.1,0.0,Dubai
2023-01-24,24.1,15.0,0.0,Dubai
2023-01-25,21.0,15.9,10.4,Dubai
2023-01-26,19.8,14.8,13.1,Dubai
2023-01-27,19.7,15.2,17.1,Dubai
2023-01-28,19.6,15.1,0.9,Dubai
2023-01-29,20.4,11.9,0.0,Dubai
2023-01-30,21.0,13.0,0.0,Dubai
2023-01-31,24.5,12.6,0.0,Dubai
2023-02-01,25.4,15.2,0.0,Dubai
2023-02-02,24.9,15.5,0.0,Dubai
2023-02-03,23.6,17.0,0.0,Dubai
2023-02-04,21.9,17.2,0.3,Dubai
2023-02-05,22.3,16.2,0.0,Dubai
2023-02-06,24.3,14.4,0.0,Dubai
2023-02-07,29.4,14.4,0.0,Dubai
2023-02-08,28.0,19.2,0.0,Dubai
2023-02-09,22.6,19.1,0.0,Dubai
2023-02-10,20.8,17.6,0.0,Dubai
2023-02-11,22.8,15.2,0.0,Dubai
2023-02-12,25.3,13.4,0.0,Dubai
2023-02-13,30.4,15.6,0.0,Dubai
2023-02-14,32.1,16.5,0.0,Dubai
2023-02-15,32.6,17.0,0.0,Dubai
2023-02-16,29.2,18.7,0.0,Dubai
2023-02-17,24.3,16.1,0.0,Dubai
2023-02-18,23.6,18.4,0.0,Dubai
2023-02-19,22.5,17.9,0.0,Dubai
2023-02-20,22.2,18.6,0.0,Dubai
2023-02-21,22.9,16.5,0.0,Dubai
2023-02-22,24.7,16.4,0.0,Dubai
2023-02-23,26.8,14.6,0.0,Dubai
2023-02-24,30.3,14.0,0.0,Dubai
2023-02-25,32.2,17.6,0.0,Dubai
2023-02-26,31.5,18.9,0.0,Dubai
2023-02-27,31.3,18.4,0.0,Dubai
2023-02-28,30.3,20.8,0.1,Dubai
2023-03-01,26.6,19.9,0.1,Dubai
2023-03-02,26.3,19.8,0.7,Dubai
2023-03-03,27.0,19.3,0.0,Dubai
2023-03-04,25.6,19.2,0.0,Dubai
2023-03-05,26.0,17.0,0.0,Dubai
2023-03-06,28.4,16.5,0.0,Dubai
2023-03-07,28.8,15.8,0.0,Dubai
2023-03-08,30.4,15.3,0.0,Dubai
2023-03-09,34.7,19.4,0.0,Dubai
2023-03-10,33.5,23.2,0.0,Dubai
2023-03-11,28.4,20.4,0.0,Dubai
2023-03-12,32.7,20.0,0.0,Dubai
2023-03-13,34.0,20.6,0.2,Dubai
2023-03-14,30.5,22.5,0.0,Dubai
2023-03-15,29.3,20.0,0.0,Dubai
2023-03-16,29.6,20.1,0.0,Dubai
2023-03-17,26.5,21.7,0.0,Dubai
2023-03-18,25.5,19.8,0.0,Dubai
2023-03-19,26.8,17.4,0.6,Dubai
2023-03-20,29.1,17.9,0.0,Dubai
2023-03-21,33.9,20.3,0.0,Dubai
2023-03-22,25.7,22.1,0.0,Dubai
2023-03-23,24.7,21.3,0.0,Dubai
2023-03-24,25.0,20.1,0.0,Dubai
2023-03-25,25.2,17.6,0.0,Dubai
2023-03-26,30.1,18.1,0.0,Dubai
2023-03-27,31.1,22.6,0.0,Dubai
2023-03-28,27.7,22.4,2.4,Dubai
2023-03-29,25.8,21.5,0.0,Dubai
2023-03-30,26.0,18.6,0.0,Dubai
