time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,12.1,8.7,3.9,London
2023-01-02,8.6,1.0,0.6,London
2023-01-03,12.4,1.3,3.2,London
2023-01-04,13.1,10.0,0.9,London
2023-01-05,13.0,7.8,0.1,London
2023-01-06,12.0,5.8,1.2,London
2023-01-07,11.7,7.3,5.0,London
2023-01-08,9.0,4.8,1.4,London
2023-01-09,8.3,4.1,0.7,London
2023-01-10,12.6,3.2,6.4,London
2023-01-11,12.1,6.7,2.6,London
2023-01-12,12.2,7.2,5.7,London
2023-01-13,10.3,5.1,0.0,London
2023-01-14,12.2,5.7,11.4,London
2023-01-15,7.7,1.1,0.0,London
2023-01-16,5.1,-4.0,13.4,London
2023-01-17,2.5,-4.6,0.0,London
2023-01-18,4.6,-3.7,0.0,London
2023-01-19,4.1,-3.2,0.0,London
2023-01-20,6.0,-1.1,0.0,London
2023-01-21,5.4,-2.2,0.0,London
2023-01-22,1.6,-3.5,0.0,London
2023-01-23,3.3,-4.1,0.0,London
2023-01-24,4.8,-1.6,0.0,London
2023-01-25,5.8,-2.3,1.7,London
2023-01-26,7.9,2.8,0.3,London
2023-01-27,7.2,-1.4,0.0,London
2023-01-28,6.1,-2.1,0.0,London
2023-01-29,8.1,0.4,0.0,London
2023-01-30,9.0,1.2,0.0,London
2023-01-31,11.5,1.2,0.1,London
2023-02-01,9.9,3.3,0.0,London
2023-02-02,11.2,4.5,0.2,London
2023-02-03,12.4,6.4,0.0,London
2023-02-04,9.5,5.0,0.5,London
2023-02-05,8.6,-0.2,0.0,London
2023-02-06,8.4,-0.7,0.0,London
2023-02-07,5.9,-1.2,0.0,London
2023-02-08,7.3,-2.9,0.0,London
2023-02-09,9.3,-1.5,0.0,London
2023-02-10,7.9,-2.8,0.0,London
2023-02-11,10.7,6.2,0.0,London
2023-02-12,9.3,5.7,0.0,London
2023-02-13,11.5,2.0,0.0,London
2023-02-14,12.9,0.9,0.0,London
2023-02-15,13.0,1.2,0.0,London
2023-02-16,12.2,7.4,3.9,London
2023-02-17,13.6,9.4,0.1,London
2023-02-18,12.9,8.6,0.7,London
2023-02-19,12.2,6.3,0.0,London
2023-02-20,12.5,6.2,0.0,London
2023-02-21,10.9,4.6,0.0,London
2023-02-22,8.6,3.5,4.1,London
2023-02-23,8.4,2.3,1.7,London
2023-02-24,9.2,-1.1,0.0,London
2023-02-25,7.4,1.7,0.0,London
2023-02-26,7.8,1.2,0.0,London
2023-02-27,7.7,-0.4,0.0,London
2023-02-28,8.0,0.6,0.7,London
2023-03-01,7.3,4.0,0.6,London
2023-03-02,8.9,0.4,0.0,London
2023-03-03,6.4,1.0,0.4,London
2023-03-04,6.9,3.4,0.0,London
2023-03-05,5.0,-0.0,0.3,London
2023-03-06,8.9,-1.7,1.6,London
2023-03-07,4.5,-1.7,4.1,London
2023-03-08,2.6,-2.0,13.0,London
2023-03-09,11.9,2.0,6.0,London
2023-03-10,8.6,-1.5,4.6,London
2023-03-11,7.9,-3.5,1.1,London
2023-03-12,13.0,5.8,1.2,London
2023-03-13,14.0,9.7,0.9,London
2023-03-14,9.8,3.9,5.7,London
2023-03-15,8.4,-1.0,1.7,London
2023-03-16,14.0,7.6,2.4,London
2023-03-17,13.7,8.5,1.9,London
2023-03-18,13.1,8.1,4.0,London
2023-03-19,10.6,5.4,1.7,London
2023-03-20,12.9,7.2,3.2,London
2023-03-21,14.0,8.6,1.5,London
2023-03-22,14.6,10.1,2.2,London
2023-03-23,13.9,7.9,8.9,London
2023-03-24,12.9,7.4,1.7,London
2023-03-25,13.6,7.6,0.5,London
2023-03-26,8.7,3.2,8.1,London
2023-03-27,9.7,1.9,0.0,London
2023-03-28,9.1,3.5,1.9,London
2023-03-29,14.1,8.1,3.3,London
2023-03-30,15.1,10.2,2.9,London
2023-03-31,13.4,10.0,13.2,London
2023-04-01,11.6,8.2,1.2,London
2023-04-02,11.4,3.0,0.0,London
2023-04-03,11.1,0.4,0.0,London
2023-04-04,12.6,-0.8,0.0,London
2023-04-05,11.8,0.7,1.0,London
2023-04-06,13.4,5.7,4.9,London
2023-04-07,13.8,2.9,0.2,London
2023-04-08,13.7,2.6,0.0,London
2023-04-09,15.4,3.6,0.0,London
2023-04-10,14.3,7.9,9.1,London
2023-04-11,12.6,5.8,7.4,London
2023-04-12,10.6,4.9,3.3,London
2023-04-13,12.3,4.7,1.0,London
2023-04-14,10.0,2.4,8.1,London
2023-04-15,14.3,6.7,2.3,London
2023-04-16,15.1,5.1,0.0,London
2023-04-17,15.9,7.3,0.5,London
2023-04-18,11.9,7.1,0.2,London
2023-04-19,14.9,6.9,0.0,London
2023-04-20,14.7,5.2,2.3,London
2023-04-21,11.3,4.6,3.3,London
2023-04-22,13.4,1.5,1.5,London
2023-04-23,13.1,8.1,3.9,London
2023-04-24,12.0,5.4,13.8,London
2023-04-25,10.3,1.2,0.0,London
2023-04-26,11.6,3.2,0.0,London
2023-04-27,14.1,5.0,6.6,London
2023-04-28,17.4,8.2,0.8,London
2023-04-29,17.6,4.6,0.0,London
2023-04-30,17.1,4.9,0.0,London
2023-05-01,17.0,8.1,1.0,London
2023-05-02,14.0,6.9,0.0,London
2023-05-03,13.9,5.0,0.0,London
2023-05-04,18.9,7.8,0.9,London
2023-05-05,17.7,10.8,0.7,London
2023-05-06,14.9,8.6,5.6,London
2023-05-07,18.7,11.6,0.7,London
2023-05-08,15.8,9.1,2.6,London
2023-05-09,17.2,11.1,10.1,London
2023-05-10,17.5,9.3,6.2,London
2023-05-11,17.0,8.3,3.7,London
2023-05-12,12.8,8.8,1.9,London
2023-05-13,15.5,9.2,0.0,London
2023-05-14,19.1,6.9,0.7,London
2023-05-15,14.8,7.1,0.5,London
2023-05-16,16.8,5.2,0.2,London
2023-05-17,17.2,5.9,0.4,London
2023-05-18,17.7,8.9,0.2,London
2023-05-19,17.1,7.7,1.1,London
2023-05-20,18.7,6.7,0.1,London
2023-05-21,18.0,7.4,0.0,London
2023-05-22,19.3,9.3,0.0,London
2023-05-23,16.9,8.5,0.0,London
2023-05-24,20.9,7.5,0.0,London
2023-05-25,18.1,8.3,0.0,London
2023-05-26,17.8,7.8,0.0,London
2023-05-27,19.1,7.5,0.0,London
2023-05-28,20.9,6.3,0.0,London
2023-05-29,17.0,7.9,0.0,London
2023-05-30,16.7,8.2,0.0,London
2023-05-31,18.7,10.9,0.0,London
2023-06-01,18.1,10.2,0.0,London
2023-06-02,17.8,10.3,0.0,London
2023-06-03,21.5,7.5,0.0,London
2023-06-04,21.1,8.5,0.0,London
2023-06-05,18.0,8.0,0.0,London
2023-06-06,16.6,11.0,0.1,London
2023-06-07,20.4,8.5,0.0,London
2023-06-08,21.2,8.6,0.0,London
2023-06-09,24.0,10.8,0.0,London
2023-06-10,28.5,14.2,0.0,London
2023-06-11,30.0,15.5,0.0,London
2023-06-12,26.9,16.0,5.7,London
2023-06-13,27.1,13.2,0.0,London
2023-06-14,26.8,10.8,0.0,London
2023-06-15,26.0,11.7,0.0,London
2023-06-16,25.6,12.0,0.0,London
2023-06-17,24.1,12.3,2.1,London
2023-06-18,24.6,15.3,16.9,London
2023-06-19,22.9,14.1,0.9,London
2023-06-20,22.6,14.9,5.9,London
