time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,15.5,12.0,2.0,Paris
2023-01-02,15.5,6.9,7.4,Paris
2023-01-03,9.9,5.8,1.0,Paris
2023-01-04,13.2,9.6,3.4,Paris
2023-01-05,13.8,11.4,0.4,Paris
2023-01-06,13.0,9.9,0.0,Paris
2023-01-07,11.2,6.3,1.2,Paris
2023-01-08,10.6,8.3,4.4,Paris
2023-01-09,8.3,5.6,0.8,Paris
2023-01-10,11.8,4.1,3.0,Paris
2023-01-11,12.5,9.0,9.1,Paris
2023-01-12,12.1,9.3,0.6,Paris
2023-01-13,11.3,7.3,2.1,Paris
2023-01-14,12.7,7.2,8.5,Paris
2023-01-15,9.9,5.1,3.3,Paris
2023-01-16,6.6,2.3,9.2,Paris
2023-01-17,3.3,-0.4,3.7,Paris
2023-01-18,5.1,-1.7,0.1,Paris
2023-01-19,3.5,-1.0,4.1,Paris
2023-01-20,6.1,-1.5,0.2,Paris
2023-01-21,3.8,-1.4,0.1,Paris
2023-01-22,3.3,-1.0,0.0,Paris
2023-01-23,3.7,0.5,0.0,Paris
2023-01-24,3.6,-1.1,0.0,Paris
2023-01-25,2.6,0.8,0.0,Paris
2023-01-26,4.7,0.3,0.6,Paris
2023-01-27,4.7,3.3,0.3,Paris
2023-01-28,3.7,-1.2,0.0,Paris
2023-01-29,4.9,-3.3,0.0,Paris
2023-01-30,9.0,3.3,0.0,Paris
2023-01-31,8.2,0.6,0.0,Paris
2023-02-01,9.8,6.1,0.0,Paris
2023-02-02,10.6,4.7,0.0,Paris
2023-02-03,10.2,6.8,0.0,Paris
2023-02-04,10.9,7.8,0.5,Paris
2023-02-05,9.4,4.2,0.1,Paris
2023-02-06,7.0,0.5,0.0,Paris
2023-02-07,6.3,-0.8,0.0,Paris
2023-02-08,6.0,-3.6,0.0,Paris
2023-02-09,6.9,-5.0,0.0,Paris
2023-02-10,9.6,-0.4,0.0,Paris
2023-02-11,8.8,-0.5,0.0,Paris
2023-02-12,9.3,5.9,0.0,Paris
2023-02-13,11.9,-0.8,0.0,Paris
2023-02-14,12.0,-0.1,0.0,Paris
2023-02-15,12.9,-0.7,0.0,Paris
2023-02-16,11.6,3.9,1.3,Paris
2023-02-17,14.8,10.7,0.3,Paris
2023-02-18,12.5,9.3,0.1,Paris
2023-02-19,12.0,5.7,0.0,Paris
2023-02-20,12.1,2.6,0.0,Paris
2023-02-21,14.0,0.8,0.0,Paris
2023-02-22,10.6,6.8,5.5,Paris
2023-02-23,10.1,5.5,0.1,Paris
2023-02-24,10.5,4.7,0.0,Paris
2023-02-25,7.9,1.6,0.0,Paris
2023-02-26,5.2,-0.9,0.0,Paris
2023-02-27,6.5,-1.4,0.0,Paris
2023-02-28,5.2,-2.3,0.0,Paris
2023-03-01,7.3,-2.3,0.0,Paris
2023-03-02,9.4,-2.1,0.0,Paris
2023-03-03,9.2,-0.2,0.0,Paris
2023-03-04,6.8,-1.1,0.0,Paris
2023-03-05,7.3,3.0,0.3,Paris
2023-03-06,7.7,1.9,0.6,Paris
2023-03-07,8.9,3.3,0.3,Paris
2023-03-08,14.1,5.5,18.0,Paris
2023-03-09,14.7,8.9,6.2,Paris
2023-03-10,11.1,4.7,1.9,Paris
2023-03-11,7.3,1.3,3.6,Paris
2023-03-12,14.2,6.6,4.1,Paris
2023-03-13,15.8,11.0,2.1,Paris
2023-03-14,10.6,3.8,5.4,Paris
2023-03-15,10.9,2.3,0.4,Paris
2023-03-16,15.9,5.0,0.0,Paris
2023-03-17,15.9,8.1,7.7,Paris
2023-03-18,15.2,8.8,5.1,Paris
2023-03-19,11.2,4.3,2.0,Paris
2023-03-20,13.3,2.0,0.0,Paris
2023-03-21,14.8,8.3,1.2,Paris
2023-03-22,14.0,8.2,8.1,Paris
2023-03-23,15.9,11.2,1.3,Paris
2023-03-24,15.0,9.7,1.8,Paris
2023-03-25,13.7,8.5,0.2,Paris
2023-03-26,11.5,8.0,7.0,Paris
2023-03-27,9.7,3.7,0.1,Paris
2023-03-28,11.2,3.2,0.6,Paris
2023-03-29,19.6,9.1,0.5,Paris
2023-03-30,15.9,11.6,3.1,Paris
2023-03-31,14.6,10.3,3.7,Paris
2023-04-01,13.4,9.2,2.6,Paris
2023-04-02,9.5,7.1,0.6,Paris
2023-04-03,11.8,3.7,0.0,Paris
2023-04-04,10.8,0.8,0.0,Paris
2023-04-05,13.9,-0.4,0.0,Paris
2023-04-06,14.4,7.9,1.4,Paris
2023-04-07,14.1,5.4,0.4,Paris
2023-04-08,14.3,2.8,0.0,Paris
2023-04-09,17.3,2.8,0.0,Paris
2023-04-10,16.9,7.9,5.3,Paris
2023-04-11,13.2,7.8,5.8,Paris
2023-04-12,12.9,8.4,9.4,Paris
2023-04-13,11.9,5.9,5.1,Paris
2023-04-14,9.1,4.2,6.3,Paris
2023-04-15,12.7,7.0,11.5,Paris
2023-04-16,14.8,2.8,0.0,Paris
2023-04-17,12.5,3.5,0.1,Paris
2023-04-18,15.3,6.1,2.7,Paris
2023-04-19,18.2,7.2,0.0,Paris
2023-04-20,12.2,5.3,0.2,Paris
2023-04-21,13.2,1.3,0.5,Paris
2023-04-22,17.2,5.0,7.1,Paris
2023-04-23,14.6,8.8,6.0,Paris
2023-04-24,14.2,6.9,5.2,Paris
2023-04-25,11.6,5.5,0.9,Paris
2023-04-26,11.9,4.8,1.3,Paris
2023-04-27,18.4,7.0,1.2,Paris
2023-04-28,21.0,13.1,5.8,Paris
2023-04-29,15.8,8.4,0.2,Paris
2023-04-30,17.2,7.7,0.0,Paris
2023-05-01,15.9,9.5,3.7,Paris
2023-05-02,17.2,7.3,0.4,Paris
2023-05-03,19.7,6.5,0.0,Paris
2023-05-04,22.4,11.0,1.2,Paris
2023-05-05,18.5,12.6,4.2,Paris
2023-05-06,20.1,11.5,4.5,Paris
2023-05-07,18.5,13.4,18.0,Paris
2023-05-08,18.9,10.3,0.0,Paris
2023-05-09,16.9,12.6,17.0,Paris
2023-05-10,16.8,9.4,6.4,Paris
2023-05-11,16.4,8.9,6.1,Paris
2023-05-12,15.1,9.0,1.0,Paris
2023-05-13,20.3,10.2,12.2,Paris
2023-05-14,18.9,8.5,0.0,Paris
2023-05-15,16.0,8.1,4.8,Paris
2023-05-16,15.2,5.9,0.0,Paris
2023-05-17,16.1,6.4,0.1,Paris
2023-05-18,17.1,6.8,0.0,Paris
2023-05-19,19.2,7.5,0.0,Paris
2023-05-20,20.0,12.0,0.2,Paris
2023-05-21,21.2,12.5,0.0,Paris
2023-05-22,21.4,11.7,0.0,Paris
2023-05-23,18.9,11.5,0.1,Paris
2023-05-24,19.1,7.7,0.0,Paris
2023-05-25,20.2,10.3,0.0,Paris
2023-05-26,21.5,10.0,0.0,Paris
2023-05-27,23.7,11.5,0.0,Paris
2023-05-28,25.4,12.3,0.0,Paris
2023-05-29,23.4,13.3,0.0,Paris
2023-05-30,21.8,11.8,0.0,Paris
2023-05-31,25.5,11.9,0.0,Paris
2023-06-01,26.2,14.2,0.0,Paris
2023-06-02,20.2,9.8,0.0,Paris
2023-06-03,24.1,10.8,0.0,Paris
2023-06-04,25.3,13.4,0.0,Paris
2023-06-05,25.5,13.2,0.0,Paris
2023-06-06,25.6,12.5,0.0,Paris
2023-06-07,27.3,14.0,0.2,Paris
2023-06-08,27.3,14.5,0.0,Paris
2023-06-09,29.7,15.8,0.0,Paris
