time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,25.8,16.8,5.0,Sao_Paulo
2023-01-02,27.0,16.7,5.1,Sao_Paulo
2023-01-03,25.5,18.4,1.5,Sao_Paulo
2023-01-04,25.0,17.2,18.5,Sao_Paulo
2023-01-05,19.4,16.4,15.7,Sao_Paulo
2023-01-06,19.2,16.2,1.8,Sao_Paulo
2023-01-07,20.1,15.5,0.4,Sao_Paulo
2023-01-08,21.6,15.5,0.2,Sao_Paulo
2023-01-09,22.7,17.6,3.3,Sao_Paulo
2023-01-10,24.5,18.0,22.4,Sao_Paulo
2023-01-11,24.9,17.2,6.2,Sao_Paulo
2023-01-12,25.5,18.7,5.5,Sao_Paulo
2023-01-13,26.7,18.7,11.1,Sao_Paulo
2023-01-14,28.1,19.6,1.6,Sao_Paulo
2023-01-15,29.3,20.3,0.8,Sao_Paulo
2023-01-16,29.1,19.2,15.4,Sao_Paulo
2023-01-17,28.3,19.6,6.5,Sao_Paulo
2023-01-18,27.9,19.1,7.1,Sao_Paulo
2023-01-19,27.0,18.3,4.7,Sao_Paulo
2023-01-20,23.4,17.8,24.8,Sao_Paulo
2023-01-21,26.4,16.0,1.8,Sao_Paulo
2023-01-22,27.7,18.3,4.5,Sao_Paulo
2023-01-23,28.3,18.3,21.4,Sao_Paulo
2023-01-24,26.1,18.6,7.0,Sao_Paulo
2023-01-25,26.6,18.2,0.1,Sao_Paulo
2023-01-26,27.0,16.3,0.0,Sao_Paulo
2023-01-27,27.2,15.1,1.3,Sao_Paulo
2023-01-28,27.9,18.3,6.6,Sao_Paulo
2023-01-29,26.9,17.9,6.9,Sao_Paulo
2023-01-30,25.4,19.0,12.1,Sao_Paulo
2023-01-31,27.2,19.0,11.3,Sao_Paulo
2023-02-01,26.2,20.0,7.6,Sao_Paulo
2023-02-02,27.6,18.8,12.3,Sao_Paulo
2023-02-03,26.7,20.1,1.1,Sao_Paulo
2023-02-04,27.0,19.7,9.7,Sao_Paulo
2023-02-05,27.1,19.8,1.2,Sao_Paulo
2023-02-06,26.9,18.6,3.2,Sao_Paulo
2023-02-07,25.8,18.0,31.5,Sao_Paulo
2023-02-08,25.4,17.5,2.9,Sao_Paulo
2023-02-09,28.0,16.2,1.1,Sao_Paulo
2023-02-10,27.8,18.7,15.4,Sao_Paulo
2023-02-11,24.8,18.4,5.6,Sao_Paulo
2023-02-12,25.8,17.8,17.6,Sao_Paulo
2023-02-13,26.7,18.4,2.9,Sao_Paulo
2023-02-14,27.1,18.4,3.8,Sao_Paulo
2023-02-15,28.6,20.8,0.6,Sao_Paulo
2023-02-16,27.1,20.8,3.6,Sao_Paulo
2023-02-17,28.3,20.2,0.7,Sao_Paulo
2023-02-18,24.1,18.4,1.9,Sao_Paulo
2023-02-19,20.7,17.2,32.2,Sao_Paulo
2023-02-20,28.2,18.4,25.4,Sao_Paulo
2023-02-21,27.0,16.9,14.3,Sao_Paulo
2023-02-22,25.9,18.3,6.9,Sao_Paulo
2023-02-23,26.6,18.9,18.8,Sao_Paulo
2023-02-24,27.4,18.5,9.2,Sao_Paulo
2023-02-25,28.0,19.3,2.4,Sao_Paulo
2023-02-26,28.5,19.0,0.5,Sao_Paulo
2023-02-27,26.4,19.9,1.9,Sao_Paulo
2023-02-28,25.4,19.7,14.8,Sao_Paulo
2023-03-01,27.4,17.6,5.5,Sao_Paulo
2023-03-02,27.9,17.2,0.1,Sao_Paulo
2023-03-03,28.4,19.0,7.1,Sao_Paulo
2023-03-04,27.0,19.7,6.4,Sao_Paulo
2023-03-05,25.5,18.7,8.1,Sao_Paulo
2023-03-06,26.6,18.0,7.5,Sao_Paulo
2023-03-07,26.9,17.5,1.1,Sao_Paulo
2023-03-08,28.3,18.1,5.7,Sao_Paulo
2023-03-09,28.0,18.3,8.9,Sao_Paulo
2023-03-10,26.7,18.5,32.1,Sao_Paulo
2023-03-11,24.8,18.6,14.0,Sao_Paulo
2023-03-12,24.1,19.0,12.9,Sao_Paulo
2023-03-13,25.8,19.0,27.8,Sao_Paulo
2023-03-14,25.8,18.6,19.4,Sao_Paulo
2023-03-15,25.9,17.8,1.9,Sao_Paulo
2023-03-16,26.3,16.3,0.6,Sao_Paulo
2023-03-17,25.7,15.9,0.9,Sao_Paulo
2023-03-18,26.9,15.5,0.0,Sao_Paulo
2023-03-19,28.1,18.6,0.4,Sao_Paulo
2023-03-20,29.0,18.8,0.0,Sao_Paulo
2023-03-21,27.6,16.1,0.3,Sao_Paulo
2023-03-22,28.1,17.7,0.0,Sao_Paulo
2023-03-23,28.4,17.3,0.0,Sao_Paulo
2023-03-24,29.1,16.9,0.6,Sao_Paulo
2023-03-25,28.6,18.4,0.6,Sao_Paulo
2023-03-26,29.9,18.8,3.0,Sao_Paulo
2023-03-27,23.9,18.5,9.7,Sao_Paulo
2023-03-28,24.9,17.3,0.6,Sao_Paulo
2023-03-29,28.2,18.5,6.5,Sao_Paulo
2023-03-30,28.1,17.7,0.0,Sao_Paulo
2023-03-31,27.5,18.2,2.6,Sao_Paulo
2023-04-01,27.3,17.5,0.3,Sao_Paulo
2023-04-02,21.4,16.7,0.9,Sao_Paulo
2023-04-03,24.8,14.4,0.0,Sao_Paulo
2023-04-04,27.5,15.1,0.2,Sao_Paulo
2023-04-05,24.7,14.4,0.0,Sao_Paulo
2023-04-06,25.0,16.7,0.6,Sao_Paulo
2023-04-07,20.6,17.9,16.7,Sao_Paulo
2023-04-08,21.6,18.1,7.1,Sao_Paulo
2023-04-09,22.0,16.3,1.0,Sao_Paulo
2023-04-10,22.7,14.2,0.0,Sao_Paulo
2023-04-11,25.2,13.4,0.1,Sao_Paulo
2023-04-12,26.0,15.4,1.6,Sao_Paulo
2023-04-13,27.0,15.7,1.4,Sao_Paulo
2023-04-14,23.0,17.0,9.1,Sao_Paulo
2023-04-15,21.9,17.5,2.5,Sao_Paulo
2023-04-16,24.9,17.1,0.2,Sao_Paulo
2023-04-17,27.3,15.8,8.2,Sao_Paulo
2023-04-18,23.3,19.3,19.5,Sao_Paulo
2023-04-19,23.4,15.6,12.8,Sao_Paulo
2023-04-20,20.7,12.8,0.0,Sao_Paulo
2023-04-21,20.9,9.9,0.0,Sao_Paulo
2023-04-22,22.7,11.5,0.0,Sao_Paulo
2023-04-23,23.2,13.9,0.3,Sao_Paulo
2023-04-24,23.3,13.1,0.2,Sao_Paulo
2023-04-25,24.1,12.8,0.0,Sao_Paulo
2023-04-26,23.9,15.4,4.7,Sao_Paulo
2023-04-27,23.3,16.4,1.9,Sao_Paulo
2023-04-28,19.1,15.7,1.3,Sao_Paulo
2023-04-29,22.0,14.9,1.5,Sao_Paulo
2023-04-30,24.4,16.4,0.3,Sao_Paulo
2023-05-01,24.9,16.3,0.4,Sao_Paulo
2023-05-02,24.3,16.4,1.0,Sao_Paulo
2023-05-03,25.7,16.0,0.0,Sao_Paulo
2023-05-04,26.2,16.6,0.0,Sao_Paulo
2023-05-05,26.3,16.6,0.2,Sao_Paulo
2023-05-06,25.4,17.5,0.1,Sao_Paulo
2023-05-07,26.0,15.6,0.0,Sao_Paulo
2023-05-08,26.7,15.7,0.0,Sao_Paulo
2023-05-09,25.2,15.8,0.5,Sao_Paulo
2023-05-10,20.7,17.4,7.0,Sao_Paulo
2023-05-11,22.8,15.4,0.6,Sao_Paulo
2023-05-12,19.6,12.9,0.9,Sao_Paulo
2023-05-13,19.8,12.2,0.4,Sao_Paulo
2023-05-14,21.7,11.3,0.0,Sao_Paulo
2023-05-15,21.2,10.5,0.0,Sao_Paulo
2023-05-16,21.5,8.9,0.0,Sao_Paulo
2023-05-17,19.2,12.1,0.8,Sao_Paulo
2023-05-18,20.2,10.0,0.0,Sao_Paulo
2023-05-19,21.4,9.1,0.0,Sao_Paulo
2023-05-20,23.1,9.7,0.0,Sao_Paulo
2023-05-21,24.0,9.6,0.0,Sao_Paulo
2023-05-22,23.5,10.7,0.0,Sao_Paulo
2023-05-23,23.9,9.5,0.0,Sao_Paulo
2023-05-24,24.1,11.1,0.0,Sao_Paulo
2023-05-25,25.5,14.1,0.0,Sao_Paulo
2023-05-26,26.2,13.2,0.0,Sao_Paulo
2023-05-27,26.5,12.5,0.0,Sao_Paulo
2023-05-28,22.7,15.1,1.7,Sao_Paulo
2023-05-29,18.4,15.0,0.2,Sao_Paulo
2023-05-30,20.3,14.4,1.8,Sao_Paulo
2023-05-31,19.2,14.4,28.4,Sao_Paulo
2023-06-01,20.2,14.2,0.9,Sao_Paulo
2023-06-02,20.6,13.5,0.0,Sao_Paulo
2023-06-03,22.5,13.0,0.0,Sao_Paulo
2023-06-04,22.7,7.9,0.0,Sao_Paulo
2023-06-05,21.8,9.5,0.0,Sao_Paulo
2023-06-06,20.3,10.9,0.0,Sao_Paulo
2023-06-07,22.4,10.7,0.0,Sao_Paulo
2023-06-08,22.5,9.6,0.0,Sao_Paulo
2023-06-09,23.8,9.4,0.0,Sao_Paulo
2023-06-10,24.0,11.3,0.0,Sao_Paulo
2023-06-11,25.5,13.6,0.0,Sao_Paulo
2023-06-12,26.3,13.1,0.0,Sao_Paulo
2023-06-13,17.1,15.6,2.2,Sao_Paulo
2023-06-14,17.9,15.1,12.2,Sao_Paulo
2023-06-15,17.3,13.9,9.7,Sao_Paulo
2023-06-16,16.4,10.2,0.0,Sao_Paulo
2023-06-17,17.5,7.7,0.0,Sao_Paulo
2023-06-18,17.9,9.7,0.0,Sao_Paulo
2023-06-19,18.0,11.1,0.0,Sao_Paulo
2023-06-20,20.7,11.3,0.0,Sao_Paulo
2023-06-21,22.2,8.8,0.0,Sao_Paulo
2023-06-22,23.2,10.1,0.0,Sao_Paulo
2023-06-23,23.8,10.0,0.0,Sao_Paulo
2023-06-24,24.1,12.4,0.0,Sao_Paulo
2023-06-25,24.7,11.6,0.0,Sao_Paulo
2023-06-26,24.9,10.2,0.0,Sao_Paulo
2023-06-27,23.9,11.0,0.0,Sao_Paulo
2023-06-28,24.5,11.6,0.0,Sao_Paulo
2023-06-29,21.2,12.4,0.1,Sao_Paulo
2023-06-30,21.6,14.5,0.3,Sao_Paulo
2023-07-01,22.8,13.7,2.1,Sao_Paulo
2023-07-02,20.2,12.4,0.0,Sao_Paulo
2023-07-03,18.9,9.6,0.0,Sao_Paulo
2023-07-04,20.0,7.7,0.0,Sao_Paulo
2023-07-05,22.6,7.3,0.0,Sao_Paulo
2023-07-06,22.5,7.5,0.0,Sao_Paulo
2023-07-07,23.2,9.5,0.0,Sao_Paulo
2023-07-08,24.8,9.6,1.7,Sao_Paulo
2023-07-09,18.6,14.1,12.6,Sao_Paulo
2023-07-10,23.7,13.6,0.5,Sao_Paulo
2023-07-11,25.7,13.1,0.0,Sao_Paulo
2023-07-12,27.0,14.7,0.0,Sao_Paulo
2023-07-13,23.1,16.4,0.0,Sao_Paulo
2023-07-14,16.4,8.4,0.0,Sao_Paulo
2023-07-15,18.7,9.6,0.0,Sao_Paulo
2023-07-16,23.5,9.6,0.0,Sao_Paulo
2023-07-17,23.3,12.1,0.0,Sao_Paulo
2023-07-18,18.4,14.1,0.6,Sao_Paulo
2023-07-19,17.0,13.8,2.5,Sao_Paulo
2023-07-20,21.9,13.7,0.0,Sao_Paulo
2023-07-21,22.9,13.0,0.0,Sao_Paulo
2023-07-22,22.5,12.7,0.0,Sao_Paulo
2023-07-23,24.6,9.1,0.0,Sao_Paulo
2023-07-24,25.1,12.4,0.0,Sao_Paulo
2023-07-25,25.4,12.0,0.0,Sao_Paulo
2023-07-26,26.4,12.4,0.0,Sao_Paulo
2023-07-27,24.7,11.8,2.6,Sao_Paulo
2023-07-28,26.7,14.8,1.0,Sao_Paulo
2023-07-29,16.9,12.9,0.1,Sao_Paulo
2023-07-30,19.8,12.6,0.1,Sao_Paulo
2023-07-31,23.7,12.6,0.0,Sao_Paulo
2023-08-01,23.3,12.9,0.0,Sao_Paulo
2023-08-02,27.0,13.0,0.0,Sao_Paulo
2023-08-03,27.3,10.1,0.0,Sao_Paulo
2023-08-04,23.1,10.8,0.0,Sao_Paulo
2023-08-05,25.9,11.9,0.0,Sao_Paulo
2023-08-06,28.9,10.5,0.0,Sao_Paulo
2023-08-07,28.4,14.6,0.0,Sao_Paulo
2023-08-08,18.7,15.4,0.6,Sao_Paulo
2023-08-09,25.3,15.2,19.4,Sao_Paulo
2023-08-10,26.8,14.3,2.4,Sao_Paulo
2023-08-11,28.8,14.7,0.2,Sao_Paulo
2023-08-12,25.2,13.4,1.4,Sao_Paulo
2023-08-13,16.8,13.2,0.3,Sao_Paulo
2023-08-14,19.1,13.1,0.2,Sao_Paulo
2023-08-15,23.9,15.5,0.0,Sao_Paulo
2023-08-16,24.6,16.1,0.3,Sao_Paulo
2023-08-17,26.5,13.0,0.0,Sao_Paulo
2023-08-18,27.7,15.4,0.0,Sao_Paulo
2023-08-19,24.3,15.8,0.0,Sao_Paulo
2023-08-20,24.8,13.2,0.0,Sao_Paulo
2023-08-21,25.5,15.3,0.0,Sao_Paulo
2023-08-22,28.8,11.9,0.0,Sao_Paulo
2023-08-23,31.3,18.9,0.0,Sao_Paulo
2023-08-24,31.1,18.2,0.8,Sao_Paulo
2023-08-25,22.5,14.5,3.6,Sao_Paulo
2023-08-26,15.0,11.8,6.1,Sao_Paulo
2023-08-27,13.3,11.2,5.8,Sao_Paulo
2023-08-28,15.4,11.5,1.1,Sao_Paulo
2023-08-29,20.3,10.4,0.7,Sao_Paulo
2023-08-30,24.1,12.4,0.0,Sao_Paulo
2023-08-31,24.0,11.3,0.0,Sao_Paulo
2023-09-01,25.1,7.7,0.0,Sao_Paulo
2023-09-02,29.5,14.2,6.5,Sao_Paulo
2023-09-03,30.3,18.1,7.0,Sao_Paulo
2023-09-04,31.2,18.6,0.1,Sao_Paulo
2023-09-05,24.7,15.5,0.6,Sao_Paulo
2023-09-06,19.5,15.3,1.0,Sao_Paulo
2023-09-07,25.1,14.9,0.0,Sao_Paulo
2023-09-08,29.4,14.3,0.0,Sao_Paulo
2023-09-09,26.6,15.6,0.9,Sao_Paulo
2023-09-10,26.6,14.5,0.2,Sao_Paulo
2023-09-11,28.6,16.2,0.0,Sao_Paulo
2023-09-12,30.0,15.6,0.0,Sao_Paulo
2023-09-13,32.5,14.3,0.0,Sao_Paulo
2023-09-14,25.2,13.3,7.7,Sao_Paulo
2023-09-15,21.3,12.6,0.4,Sao_Paulo
2023-09-16,28.3,12.5,0.0,Sao_Paulo
2023-09-17,31.5,14.6,0.0,Sao_Paulo
2023-09-18,32.0,16.3,0.2,Sao_Paulo
2023-09-19,30.6,16.6,0.1,Sao_Paulo
2023-09-20,29.9,15.2,0.0,Sao_Paulo
2023-09-21,30.7,16.4,0.2,Sao_Paulo
2023-09-22,33.9,17.5,0.0,Sao_Paulo
2023-09-23,32.7,16.8,0.2,Sao_Paulo
2023-09-24,35.9,17.5,0.0,Sao_Paulo
2023-09-25,30.8,19.2,0.0,Sao_Paulo
2023-09-26,35.0,19.0,0.1,Sao_Paulo
2023-09-27,31.8,17.3,13.5,Sao_Paulo
2023-09-28,17.0,14.4,21.6,Sao_Paulo
2023-09-29,22.3,13.7,0.0,Sao_Paulo
2023-09-30,28.6,15.4,8.7,Sao_Paulo
2023-10-01,23.9,16.9,39.7,Sao_Paulo
2023-10-02,23.8,15.5,1.3,Sao_Paulo
2023-10-03,26.4,16.0,0.1,Sao_Paulo
2023-10-04,28.4,18.2,0.4,Sao_Paulo
2023-10-05,27.9,17.5,3.0,Sao_Paulo
2023-10-06,30.2,17.4,0.0,Sao_Paulo
2023-10-07,30.5,20.2,2.0,Sao_Paulo
2023-10-08,26.5,19.9,20.0,Sao_Paulo
2023-10-09,23.3,16.2,15.6,Sao_Paulo
2023-10-10,23.1,16.2,0.6,Sao_Paulo
2023-10-11,30.4,15.8,0.0,Sao_Paulo
2023-10-12,29.0,18.1,27.7,Sao_Paulo
2023-10-13,18.3,14.3,4.3,Sao_Paulo
2023-10-14,18.7,14.4,0.6,Sao_Paulo
