time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,28.7,23.2,0.1,Singapore
2023-01-02,30.1,22.8,1.1,Singapore
2023-01-03,29.7,23.4,8.5,Singapore
2023-01-04,28.7,23.3,1.1,Singapore
2023-01-05,29.8,23.4,4.6,Singapore
2023-01-06,29.0,23.7,2.4,Singapore
2023-01-07,29.6,22.9,4.6,Singapore
2023-01-08,30.0,22.9,0.4,Singapore
2023-01-09,29.5,23.1,1.8,Singapore
2023-01-10,29.1,22.9,6.9,Singapore
2023-01-11,28.3,23.5,6.8,Singapore
2023-01-12,30.1,23.3,2.8,Singapore
2023-01-13,30.0,23.2,10.7,Singapore
2023-01-14,29.8,23.5,6.6,Singapore
2023-01-15,28.7,23.3,3.3,Singapore
2023-01-16,29.7,22.9,4.4,Singapore
2023-01-17,30.4,22.6,0.3,Singapore
2023-01-18,28.4,22.8,5.6,Singapore
2023-01-19,29.0,22.5,4.6,Singapore
2023-01-20,27.4,23.2,7.2,Singapore
2023-01-21,29.4,22.9,5.0,Singapore
2023-01-22,28.3,22.7,7.9,Singapore
2023-01-23,28.5,22.9,15.0,Singapore
2023-01-24,24.3,22.9,29.6,Singapore
2023-01-25,24.3,22.7,93.4,Singapore
2023-01-26,27.4,22.6,10.4,Singapore
2023-01-27,28.8,23.0,1.0,Singapore
2023-01-28,25.4,23.0,9.6,Singapore
2023-01-29,25.1,22.7,9.5,Singapore
2023-01-30,26.7,23.0,6.6,Singapore
2023-01-31,25.5,22.6,11.3,Singapore
2023-02-01,28.9,22.4,2.9,Singapore
2023-02-02,29.6,23.0,11.8,Singapore
2023-02-03,29.7,23.0,18.8,Singapore
2023-02-04,27.0,23.2,20.4,Singapore
2023-02-05,28.8,22.6,6.5,Singapore
2023-02-06,30.0,23.3,5.9,Singapore
2023-02-07,30.5,22.9,0.0,Singapore
2023-02-08,29.1,23.5,3.7,Singapore
2023-02-09,29.0,23.5,2.8,Singapore
2023-02-10,29.8,23.4,4.0,Singapore
2023-02-11,29.5,23.6,10.6,Singapore
2023-02-12,28.7,23.1,4.5,Singapore
2023-02-13,28.6,23.0,6.6,Singapore
2023-02-14,28.0,23.5,3.6,Singapore
2023-02-15,28.7,23.1,0.6,Singapore
2023-02-16,29.3,22.1,0.3,Singapore
2023-02-17,28.8,22.3,2.7,Singapore
2023-02-18,29.9,22.9,1.0,Singapore
2023-02-19,30.0,23.3,1.7,Singapore
2023-02-20,29.2,23.0,0.3,Singapore
2023-02-21,28.5,23.3,3.2,Singapore
2023-02-22,29.3,23.0,2.3,Singapore
2023-02-23,29.4,23.2,0.4,Singapore
2023-02-24,30.1,23.5,0.0,Singapore
2023-02-25,29.5,22.7,0.8,Singapore
2023-02-26,28.8,23.7,0.8,Singapore
2023-02-27,28.8,22.8,5.5,Singapore
2023-02-28,26.1,22.9,56.1,Singapore
2023-03-01,24.1,22.4,69.7,Singapore
2023-03-02,28.2,21.6,33.8,Singapore
2023-03-03,26.2,22.5,33.2,Singapore
2023-03-04,24.9,22.3,13.7,Singapore
2023-03-05,26.2,22.2,10.4,Singapore
2023-03-06,28.2,21.6,0.6,Singapore
2023-03-07,28.1,22.4,13.5,Singapore
2023-03-08,28.4,22.7,10.1,Singapore
2023-03-09,28.9,23.4,4.2,Singapore
2023-03-10,28.3,23.3,6.6,Singapore
2023-03-11,28.3,23.3,6.3,Singapore
2023-03-12,29.9,22.7,1.8,Singapore
2023-03-13,28.8,23.8,0.0,Singapore
2023-03-14,28.6,23.4,1.3,Singapore
2023-03-15,28.4,21.9,1.3,Singapore
2023-03-16,29.8,23.1,0.5,Singapore
2023-03-17,29.6,23.9,2.7,Singapore
2023-03-18,29.9,23.2,1.5,Singapore
2023-03-19,29.4,24.3,1.8,Singapore
2023-03-20,28.6,23.4,8.2,Singapore
2023-03-21,30.4,23.2,0.8,Singapore
2023-03-22,30.2,23.0,4.9,Singapore
2023-03-23,30.6,23.8,2.0,Singapore
2023-03-24,30.3,24.0,5.9,Singapore
2023-03-25,29.5,23.5,15.6,Singapore
2023-03-26,30.4,24.0,3.2,Singapore
2023-03-27,28.2,23.3,7.2,Singapore
2023-03-28,30.8,23.8,4.0,Singapore
2023-03-29,29.9,23.9,2.2,Singapore
2023-03-30,30.1,23.9,5.9,Singapore
2023-03-31,30.6,23.3,7.9,Singapore
2023-04-01,30.5,23.9,14.6,Singapore
2023-04-02,29.5,24.3,6.5,Singapore
2023-04-03,27.0,23.0,13.4,Singapore
2023-04-04,30.7,24.1,4.0,Singapore
2023-04-05,29.1,23.8,16.8,Singapore
2023-04-06,29.5,23.9,0.9,Singapore
2023-04-07,29.4,24.0,12.1,Singapore
2023-04-08,29.9,23.3,1.8,Singapore
2023-04-09,29.9,23.7,1.9,Singapore
2023-04-10,30.9,23.2,1.4,Singapore
2023-04-11,32.1,23.5,0.3,Singapore
2023-04-12,31.7,23.4,1.9,Singapore
2023-04-13,30.5,23.2,7.7,Singapore
2023-04-14,30.8,24.8,8.0,Singapore
2023-04-15,30.2,24.4,4.6,Singapore
2023-04-16,31.1,23.7,12.1,Singapore
2023-04-17,31.0,24.2,8.2,Singapore
2023-04-18,31.4,24.5,8.3,Singapore
2023-04-19,30.0,25.8,11.1,Singapore
2023-04-20,29.6,24.8,12.2,Singapore
2023-04-21,29.6,25.1,1.9,Singapore
2023-04-22,30.9,25.7,4.1,Singapore
2023-04-23,30.6,25.5,3.4,Singapore
2023-04-24,31.1,24.8,2.4,Singapore
2023-04-25,31.1,23.8,3.8,Singapore
2023-04-26,31.2,24.7,6.2,Singapore
2023-04-27,31.0,24.6,5.3,Singapore
2023-04-28,30.8,24.4,2.3,Singapore
2023-04-29,30.6,24.7,10.1,Singapore
2023-04-30,30.4,24.5,11.2,Singapore
2023-05-01,31.1,24.7,1.1,Singapore
2023-05-02,31.1,25.2,2.7,Singapore
2023-05-03,31.9,25.4,14.0,Singapore
2023-05-04,30.9,24.9,12.8,Singapore
2023-05-05,31.2,25.6,10.6,Singapore
2023-05-06,30.3,25.1,8.1,Singapore
2023-05-07,29.1,25.1,13.6,Singapore
2023-05-08,30.8,26.1,0.9,Singapore
2023-05-09,30.7,26.9,0.0,Singapore
2023-05-10,31.6,26.6,0.9,Singapore
2023-05-11,31.6,25.8,5.4,Singapore
2023-05-12,31.6,25.5,0.2,Singapore
2023-05-13,32.4,25.6,0.2,Singapore
2023-05-14,32.4,25.9,0.0,Singapore
2023-05-15,31.6,26.4,2.1,Singapore
2023-05-16,29.9,26.2,9.5,Singapore
2023-05-17,30.9,25.6,10.2,Singapore
2023-05-18,29.9,25.1,6.2,Singapore
2023-05-19,29.7,25.0,20.0,Singapore
2023-05-20,29.2,24.7,8.0,Singapore
2023-05-21,28.4,24.9,4.3,Singapore
2023-05-22,30.3,24.8,2.8,Singapore
2023-05-23,29.9,24.5,5.0,Singapore
2023-05-24,30.4,25.9,0.9,Singapore
2023-05-25,30.2,25.5,3.0,Singapore
2023-05-26,29.1,25.4,33.3,Singapore
2023-05-27,29.8,25.0,3.8,Singapore
2023-05-28,29.1,24.0,6.3,Singapore
2023-05-29,30.5,25.7,5.7,Singapore
2023-05-30,30.2,26.1,1.9,Singapore
2023-05-31,30.2,26.0,5.0,Singapore
2023-06-01,27.8,24.4,72.9,Singapore
2023-06-02,30.1,25.7,6.0,Singapore
2023-06-03,30.5,25.5,2.5,Singapore
2023-06-04,29.3,23.8,20.1,Singapore
2023-06-05,30.3,25.0,0.0,Singapore
2023-06-06,29.0,25.6,4.6,Singapore
2023-06-07,29.3,24.6,7.6,Singapore
2023-06-08,30.1,25.4,0.4,Singapore
2023-06-09,30.3,25.5,14.3,Singapore
2023-06-10,30.0,25.4,7.4,Singapore
2023-06-11,31.0,25.6,0.3,Singapore
2023-06-12,30.3,24.5,10.9,Singapore
2023-06-13,29.9,25.0,3.6,Singapore
2023-06-14,29.7,23.9,16.2,Singapore
2023-06-15,29.0,24.3,0.8,Singapore
2023-06-16,31.0,25.3,0.2,Singapore
2023-06-17,31.2,26.1,0.5,Singapore
2023-06-18,29.0,24.4,21.6,Singapore
2023-06-19,31.7,24.6,0.2,Singapore
2023-06-20,30.6,25.4,5.7,Singapore
2023-06-21,30.0,25.6,1.4,Singapore
2023-06-22,31.5,25.7,0.8,Singapore
2023-06-23,30.2,25.8,5.6,Singapore
2023-06-24,28.7,25.0,2.9,Singapore
2023-06-25,30.7,24.2,0.4,Singapore
2023-06-26,29.5,25.0,4.9,Singapore
2023-06-27,29.5,24.8,2.4,Singapore
2023-06-28,29.0,23.1,12.4,Singapore
2023-06-29,29.7,23.7,7.9,Singapore
2023-06-30,29.3,24.0,13.8,Singapore
2023-07-01,29.5,24.0,5.7,Singapore
2023-07-02,29.8,24.7,1.7,Singapore
2023-07-03,29.8,23.8,18.6,Singapore
2023-07-04,31.2,23.6,2.6,Singapore
2023-07-05,31.6,23.5,10.3,Singapore
2023-07-06,28.2,22.9,14.2,Singapore
2023-07-07,29.6,21.5,13.9,Singapore
2023-07-08,30.0,22.5,17.2,Singapore
2023-07-09,30.3,24.2,7.1,Singapore
2023-07-10,29.1,22.1,11.7,Singapore
2023-07-11,26.4,23.0,42.6,Singapore
2023-07-12,30.0,22.6,6.9,Singapore
2023-07-13,30.7,23.7,1.5,Singapore
2023-07-14,26.8,22.4,31.5,Singapore
2023-07-15,29.9,23.3,0.3,Singapore
2023-07-16,30.2,24.0,1.0,Singapore
2023-07-17,29.7,24.7,11.6,Singapore
2023-07-18,29.9,23.1,19.2,Singapore
2023-07-19,28.7,22.8,28.2,Singapore
2023-07-20,27.1,23.6,38.5,Singapore
2023-07-21,29.6,23.3,7.5,Singapore
2023-07-22,30.5,24.7,1.3,Singapore
2023-07-23,30.3,25.6,4.2,Singapore
2023-07-24,30.5,25.1,0.9,Singapore
2023-07-25,30.7,26.1,0.8,Singapore
2023-07-26,29.7,25.9,5.6,Singapore
2023-07-27,30.3,25.4,2.0,Singapore
2023-07-28,30.4,25.3,0.9,Singapore
2023-07-29,30.5,25.1,5.5,Singapore
2023-07-30,31.0,25.5,0.2,Singapore
2023-07-31,31.1,26.7,0.4,Singapore
2023-08-01,30.8,25.1,8.8,Singapore
2023-08-02,30.5,23.9,3.4,Singapore
2023-08-03,27.1,23.8,17.0,Singapore
2023-08-04,31.1,24.5,17.7,Singapore
2023-08-05,29.9,24.7,5.7,Singapore
2023-08-06,31.1,23.0,0.0,Singapore
2023-08-07,30.0,23.9,3.7,Singapore
2023-08-08,29.9,24.0,20.6,Singapore
2023-08-09,30.1,23.8,8.9,Singapore
2023-08-10,30.4,23.8,0.8,Singapore
2023-08-11,30.4,22.7,3.1,Singapore
2023-08-12,29.9,25.1,14.9,Singapore
2023-08-13,30.2,24.2,4.9,Singapore
2023-08-14,29.7,23.5,38.7,Singapore
2023-08-15,29.5,22.1,7.3,Singapore
2023-08-16,29.6,24.2,26.4,Singapore
2023-08-17,30.0,23.1,11.7,Singapore
2023-08-18,29.2,22.8,21.6,Singapore
2023-08-19,29.8,23.4,14.0,Singapore
2023-08-20,29.2,25.0,16.4,Singapore
2023-08-21,27.0,23.5,71.3,Singapore
2023-08-22,30.9,22.7,0.3,Singapore
2023-08-23,30.2,24.6,2.9,Singapore
2023-08-24,30.1,24.1,6.7,Singapore
2023-08-25,29.7,24.4,14.5,Singapore
2023-08-26,29.6,23.0,15.0,Singapore
2023-08-27,30.3,23.5,5.4,Singapore
2023-08-28,29.5,22.7,10.8,Singapore
2023-08-29,28.9,23.8,9.8,Singapore
2023-08-30,29.4,23.1,2.8,Singapore
2023-08-31,30.7,24.6,0.1,Singapore
2023-09-01,30.8,24.7,0.3,Singapore
2023-09-02,31.2,23.8,0.2,Singapore
2023-09-03,31.4,25.5,0.4,Singapore
2023-09-04,30.5,25.6,3.5,Singapore
2023-09-05,30.1,25.3,9.5,Singapore
2023-09-06,29.7,22.6,38.4,Singapore
2023-09-07,30.7,23.7,1.5,Singapore
2023-09-08,29.8,23.3,31.2,Singapore
2023-09-09,29.8,23.1,10.1,Singapore
2023-09-10,29.3,23.7,13.6,Singapore
2023-09-11,30.2,23.4,1.9,Singapore
2023-09-12,30.2,24.7,3.2,Singapore
2023-09-13,30.9,25.3,2.9,Singapore
2023-09-14,31.4,24.9,0.0,Singapore
2023-09-15,31.4,24.4,0.7,Singapore
2023-09-16,31.0,25.0,6.1,Singapore
2023-09-17,30.6,25.0,4.2,Singapore
2023-09-18,29.9,24.0,6.2,Singapore
2023-09-19,30.3,24.0,18.8,Singapore
2023-09-20,30.6,23.5,11.2,Singapore
2023-09-21,29.9,23.3,7.5,Singapore
2023-09-22,29.5,23.5,12.7,Singapore
2023-09-23,30.3,22.6,10.7,Singapore
2023-09-24,27.6,22.6,25.7,Singapore
2023-09-25,30.1,24.1,1.0,Singapore
2023-09-26,30.1,24.2,2.1,Singapore
2023-09-27,31.2,25.2,0.0,Singapore
2023-09-28,31.1,24.8,2.2,Singapore
2023-09-29,31.8,23.4,0.9,Singapore
2023-09-30,30.9,24.8,1.3,Singapore
2023-10-01,30.8,21.7,6.7,Singapore
2023-10-02,31.2,24.2,3.1,Singapore
2023-10-03,30.3,24.1,25.1,Singapore
2023-10-04,31.0,22.5,1.6,Singapore
2023-10-05,32.2,23.9,0.8,Singapore
2023-10-06,30.9,23.9,5.4,Singapore
2023-10-07,31.2,24.0,6.2,Singapore
2023-10-08,31.1,22.5,3.2,Singapore
2023-10-09,32.4,23.9,17.3,Singapore
2023-10-10,32.1,23.3,0.4,Singapore
2023-10-11,31.2,23.3,16.4,Singapore
2023-10-12,32.9,23.7,0.3,Singapore
2023-10-13,33.0,22.3,0.0,Singapore
2023-10-14,32.1,23.1,0.5,Singapore
2023-10-15,31.0,23.6,2.3,Singapore
2023-10-16,31.4,23.4,7.3,Singapore
2023-10-17,31.9,24.1,0.1,Singapore
2023-10-18,32.0,24.6,9.3,Singapore
2023-10-19,31.8,23.3,11.3,Singapore
2023-10-20,30.3,23.4,16.4,Singapore
2023-10-21,30.2,23.0,17.4,Singapore
2023-10-22,31.1,23.3,27.5,Singapore
2023-10-23,30.4,23.3,11.4,Singapore
2023-10-24,31.5,23.0,29.0,Singapore
2023-10-25,30.7,22.6,2.8,Singapore
2023-10-26,30.8,23.6,1.8,Singapore
2023-10-27,30.9,23.0,8.5,Singapore
2023-10-28,28.8,23.9,12.3,Singapore
2023-10-29,31.6,23.3,3.0,Singapore
2023-10-30,32.5,22.7,5.2,Singapore
2023-10-31,31.8,23.0,12.4,Singapore
2023-11-01,31.4,22.6,17.2,Singapore
2023-11-02,31.6,22.7,12.5,Singapore
