time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,25.0,17.4,0.4,Sydney
2023-01-02,25.7,17.9,0.0,Sydney
2023-01-03,26.2,17.4,0.0,Sydney
2023-01-04,24.4,17.6,24.6,Sydney
2023-01-05,20.5,16.3,43.2,Sydney
2023-01-06,19.0,15.0,18.1,Sydney
2023-01-07,21.3,16.4,5.5,Sydney
2023-01-08,21.9,14.9,0.9,Sydney
2023-01-09,24.5,13.3,0.0,Sydney
2023-01-10,23.7,15.0,0.1,Sydney
2023-01-11,24.2,18.1,1.3,Sydney
2023-01-12,24.8,17.9,0.3,Sydney
2023-01-13,25.8,16.1,0.1,Sydney
2023-01-14,24.6,19.9,2.6,Sydney
2023-01-15,27.3,17.4,0.0,Sydney
2023-01-16,26.5,18.9,0.4,Sydney
2023-01-17,25.8,18.4,0.5,Sydney
2023-01-18,28.6,17.2,0.9,Sydney
2023-01-19,21.2,18.3,10.1,Sydney
2023-01-20,20.6,16.4,6.4,Sydney
2023-01-21,23.5,17.0,1.9,Sydney
2023-01-22,20.6,17.1,13.8,Sydney
2023-01-23,23.2,17.1,1.1,Sydney
2023-01-24,26.0,15.8,0.5,Sydney
2023-01-25,25.0,16.1,2.8,Sydney
2023-01-26,29.5,19.2,0.0,Sydney
2023-01-27,24.8,21.1,2.6,Sydney
2023-01-28,28.9,19.3,0.2,Sydney
2023-01-29,28.8,22.0,2.8,Sydney
2023-01-30,28.0,20.3,29.2,Sydney
2023-01-31,25.7,19.8,0.3,Sydney
2023-02-01,24.9,19.4,0.1,Sydney
2023-02-02,27.1,18.1,1.6,Sydney
2023-02-03,28.4,18.7,0.0,Sydney
2023-02-04,25.5,14.8,0.0,Sydney
2023-02-05,25.5,14.1,0.0,Sydney
2023-02-06,26.4,19.3,0.0,Sydney
2023-02-07,25.9,18.8,3.0,Sydney
2023-02-08,24.3,19.3,5.3,Sydney
2023-02-09,23.3,17.8,32.9,Sydney
2023-02-10,27.5,15.9,1.1,Sydney
2023-02-11,32.3,17.6,0.0,Sydney
2023-02-12,24.9,19.8,0.0,Sydney
2023-02-13,23.0,18.9,4.4,Sydney
2023-02-14,23.0,17.4,10.5,Sydney
2023-02-15,24.6,16.3,1.5,Sydney
2023-02-16,27.5,15.9,0.0,Sydney
2023-02-17,27.4,17.1,0.0,Sydney
2023-02-18,30.0,17.6,0.1,Sydney
2023-02-19,25.8,20.4,0.0,Sydney
2023-02-20,28.1,19.6,0.0,Sydney
2023-02-21,27.9,19.3,10.3,Sydney
2023-02-22,22.4,18.7,20.4,Sydney
2023-02-23,22.5,17.2,2.5,Sydney
