time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-01-01,10.7,-2.3,0.0,Tokyo
2023-01-02,8.7,1.0,0.0,Tokyo
2023-01-03,8.8,-1.3,0.0,Tokyo
2023-01-04,8.4,0.2,0.0,Tokyo
2023-01-05,9.2,0.0,0.0,Tokyo
2023-01-06,8.3,-2.8,0.0,Tokyo
2023-01-07,8.7,1.2,0.0,Tokyo
2023-01-08,11.1,-0.8,0.1,Tokyo
2023-01-09,11.5,-0.1,0.0,Tokyo
2023-01-10,8.7,2.0,0.5,Tokyo
2023-01-11,8.9,-0.0,0.0,Tokyo
2023-01-12,11.2,-2.1,0.0,Tokyo
2023-01-13,12.5,-0.5,0.2,Tokyo
2023-01-14,12.9,7.0,2.7,Tokyo
2023-01-15,11.5,7.4,3.0,Tokyo
2023-01-16,7.3,4.0,9.1,Tokyo
2023-01-17,7.7,-1.2,0.3,Tokyo
2023-01-18,11.5,1.6,0.1,Tokyo
2023-01-19,7.7,2.6,0.5,Tokyo
2023-01-20,10.0,1.9,0.4,Tokyo
2023-01-21,7.3,1.0,0.0,Tokyo
2023-01-22,7.0,-0.5,0.0,Tokyo
2023-01-23,5.8,0.6,1.3,Tokyo
2023-01-24,9.5,-2.2,3.8,Tokyo
2023-01-25,2.3,-5.0,0.0,Tokyo
2023-01-26,7.3,-6.2,0.0,Tokyo
2023-01-27,4.7,-2.0,3.9,Tokyo
2023-01-28,7.2,-1.5,0.0,Tokyo
2023-01-29,6.5,-4.6,0.0,Tokyo
2023-01-30,9.3,-3.2,0.0,Tokyo
2023-01-31,7.2,-0.5,0.5,Tokyo
2023-02-01,12.0,-3.8,0.0,Tokyo
2023-02-02,8.6,2.3,0.0,Tokyo
2023-02-03,5.7,1.1,0.0,Tokyo
2023-02-04,10.8,0.3,0.0,Tokyo
2023-02-05,9.9,-1.2,0.0,Tokyo
2023-02-06,11.6,0.2,0.0,Tokyo
2023-02-07,15.2,3.6,0.0,Tokyo
2023-02-08,10.8,4.3,1.6,Tokyo
2023-02-09,10.2,1.9,0.0,Tokyo
2023-02-10,2.0,-0.9,18.4,Tokyo
2023-02-11,12.7,2.2,0.0,Tokyo
2023-02-12,15.9,2.6,0.0,Tokyo
2023-02-13,8.1,5.7,8.3,Tokyo
2023-02-14,9.0,1.7,0.0,Tokyo
2023-02-15,6.5,-1.0,0.0,Tokyo
2023-02-16,7.1,-3.8,0.0,Tokyo
2023-02-17,9.6,-2.4,0.0,Tokyo
2023-02-18,13.1,-1.4,0.0,Tokyo
2023-02-19,17.3,3.7,2.8,Tokyo
2023-02-20,11.9,4.5,1.4,Tokyo
2023-02-21,7.7,-0.6,0.0,Tokyo
2023-02-22,8.2,-1.7,0.0,Tokyo
2023-02-23,11.4,1.2,0.0,Tokyo
2023-02-24,11.1,2.3,4.8,Tokyo
2023-02-25,10.6,2.7,1.0,Tokyo
2023-02-26,9.4,0.3,0.0,Tokyo
2023-02-27,13.7,1.8,0.0,Tokyo
2023-02-28,17.5,0.4,0.0,Tokyo
2023-03-01,17.8,4.9,0.0,Tokyo
2023-03-02,17.5,5.7,1.7,Tokyo
2023-03-03,10.8,0.5,0.0,Tokyo
2023-03-04,15.8,2.3,0.0,Tokyo
2023-03-05,12.2,5.1,5.0,Tokyo
2023-03-06,14.5,6.3,2.0,Tokyo
2023-03-07,17.4,3.7,0.0,Tokyo
2023-03-08,19.6,4.6,0.0,Tokyo
2023-03-09,21.6,6.7,0.0,Tokyo
2023-03-10,22.3,13.2,0.1,Tokyo
2023-03-11,19.9,5.3,0.0,Tokyo
2023-03-12,19.4,6.1,0.0,Tokyo
2023-03-13,18.3,9.3,6.4,Tokyo
2023-03-14,12.6,6.7,0.0,Tokyo
2023-03-15,17.4,5.5,0.0,Tokyo
2023-03-16,20.4,6.1,0.0,Tokyo
2023-03-17,15.3,8.4,3.4,Tokyo
2023-03-18,9.4,6.9,31.0,Tokyo
2023-03-19,12.8,3.9,0.0,Tokyo
