time,temperature_2m_max,temperature_2m_min,precipitation_sum
2023-01-01,11.8,4.8,2.1
2023-01-02,12.7,4.4,0.5
2023-01-03,12.7,6.2,9.5
2023-01-04,17.9,9.4,2.3
2023-01-05,13.0,7.3,0.0
2023-01-06,8.6,3.2,9.6
2023-01-07,8.1,0.4,0.0
2023-01-08,4.1,-2.4,0.0
2023-01-09,7.1,0.6,1.5
2023-01-10,6.2,-0.0,0.0
2023-01-11,3.8,-1.3,0.0
2023-01-12,9.6,-0.7,11.9
2023-01-13,12.6,3.0,1.6
2023-01-14,2.8,-0.6,0.0
2023-01-15,5.0,-1.8,0.0
2023-01-16,8.1,-2.5,0.0
2023-01-17,7.3,-2.1,1.4
2023-01-18,10.7,2.8,1.7
2023-01-19,5.5,2.3,23.5
2023-01-20,8.9,1.7,0.6
2023-01-21,6.0,-2.0,0.2
2023-01-22,5.5,-3.5,5.4
2023-01-23,2.9,1.1,16.9
2023-01-24,7.6,-1.2,0.0
2023-01-25,10.5,-2.5,20.0
2023-01-26,11.8,2.8,14.5
2023-01-27,6.0,-1.7,0.0
2023-01-28,10.8,-0.9,0.0
2023-01-29,10.4,0.0,0.0
2023-01-30,11.6,2.3,0.0
2023-01-31,6.4,0.4,2.5
2023-02-01,3.1,-3.4,1.6
2023-02-02,4.0,-4.5,0.0
2023-02-03,0.2,-10.8,0.0
2023-02-04,-4.0,-16.6,0.0
2023-02-05,9.0,-4.8,0.0
2023-02-06,10.1,-1.1,0.0
2023-02-07,3.6,-4.2,2.6
2023-02-08,10.3,1.0,0.7
2023-02-09,11.0,-1.9,0.0
2023-02-10,14.0,5.9,0.0
2023-02-11,6.6,0.3,0.0
2023-02-12,6.7,-0.7,0.8
2023-02-13,13.2,2.4,1.8
2023-02-14,11.3,2.4,0.0
2023-02-15,16.9,2.9,0.0
2023-02-16,19.1,9.1,2.9
2023-02-17,15.3,0.2,8.1
2023-02-18,5.6,-2.8,0.0
2023-02-19,8.0,-0.5,0.0
2023-02-20,15.2,5.4,0.0
2023-02-21,8.2,1.9,7.1
2023-02-22,5.5,-0.9,4.4
2023-02-23,7.6,2.5,0.6
2023-02-24,7.3,-2.2,0.0
2023-02-25,0.1,-5.7,0.7
2023-02-26,10.1,-3.9,0.0
2023-02-27,4.8,-2.3,3.8
2023-02-28,2.0,-0.7,13.1
2023-03-01,5.7,-2.6,3.4
2023-03-02,13.6,2.1,1.5
2023-03-03,7.4,-1.7,2.8
2023-03-04,7.0,3.1,41.8
2023-03-05,12.1,-0.5,0.0
2023-03-06,10.1,1.3,0.0
2023-03-07,7.3,1.0,2.7
2023-03-08,9.3,-2.2,0.0
2023-03-09,10.3,-0.6,0.0
2023-03-10,7.3,-1.4,7.3
2023-03-11,6.9,1.6,13.1
2023-03-12,7.7,-1.2,0.0
2023-03-13,5.8,3.5,16.7
2023-03-14,3.3,1.0,12.2
2023-03-15,6.9,0.7,0.0
2023-03-16,13.3,-1.4,0.0
2023-03-17,14.2,2.4,0.0
2023-03-18,10.9,2.9,0.7
2023-03-19,3.6,-2.9,0.0
2023-03-20,10.6,-3.4,0.0
2023-03-21,15.7,-1.1,0.0
2023-03-22,13.2,2.2,0.0
2023-03-23,14.8,5.1,2.8
2023-03-24,12.9,5.5,0.2
2023-03-25,7.4,2.8,11.5
2023-03-26,14.9,3.1,0.0
2023-03-27,14.7,2.4,2.6
2023-03-28,11.1,3.0,0.6
2023-03-29,10.9,-0.2,0.0
2023-03-30,7.4,-1.6,0.1
2023-03-31,9.9,-0.9,0.0
2023-04-01,19.6,9.5,10.1
2023-04-02,10.5,3.1,0.0
2023-04-03,13.3,-0.3,0.0
2023-04-04,18.6,5.8,0.0
2023-04-05,13.5,9.2,0.4
2023-04-06,26.4,10.5,3.3
2023-04-07,13.8,6.7,0.0
2023-04-08,10.3,1.6,0.0
2023-04-09,11.6,1.1,0.0
2023-04-10,17.7,2.1,0.0
2023-04-11,22.9,6.3,0.0
2023-04-12,27.4,15.4,0.0
2023-04-13,31.0,11.8,0.0
2023-04-14,29.5,13.7,0.0
2023-04-15,20.8,14.4,5.0
2023-04-16,20.8,12.2,0.0
2023-04-17,19.9,11.5,3.1
2023-04-18,14.3,7.0,0.1
2023-04-19,17.4,4.2,0.0
2023-04-20,15.8,5.7,0.0
2023-04-21,18.9,8.0,0.0
2023-04-22,19.6,9.8,15.7
2023-04-23,19.1,11.1,18.4
2023-04-24,16.1,6.2,0.0
2023-04-25,15.1,5.4,0.3
2023-04-26,13.8,6.0,0.9
2023-04-27,13.4,7.2,0.7
2023-04-28,12.9,6.7,6.1
2023-04-29,12.1,8.6,59.5
2023-04-30,14.8,10.4,22.2
2023-05-01,15.6,7.4,1.8
2023-05-02,13.3,8.3,0.8
2023-05-03,12.4,5.6,0.7
2023-05-04,14.3,6.2,1.7
2023-05-05,17.0,6.8,3.5
2023-05-06,20.9,6.5,0.0
2023-05-07,23.7,9.2,0.0
2023-05-08,23.6,12.7,0.0
2023-05-09,19.2,9.6,0.0
2023-05-10,21.1,7.0,0.0
2023-05-11,25.3,9.4,0.0
2023-05-12,29.4,12.9,0.0
2023-05-13,27.3,17.5,0.0
2023-05-14,22.8,12.5,0.0
2023-05-15,25.2,9.6,0.0
2023-05-16,27.6,12.7,0.0
2023-05-17,18.6,10.5,0.0
2023-05-18,14.1,6.7,0.0
